Subject,Block,Trial,Assistance,Training,ergodicity,error,successtime,tts,PAA,srate,mergodicity,merror,msuccesstime,mtts
1,1,1,0,0,0.626313,0.587505,0,30.008333,0.256382,0.2,0.7130631,0.6226748,0.1549999667,27.2899997
1,7,1,1,0,0.79158,0.718442,0.133333,29.841667,0.175916,0.7,0.6807499333,0.6457607,0.7144445,22.387222
1,1,2,0,0,0.710034,0.633038,0,30.008333,0.203663,0.2,0.7130631,0.6226748,0.1549999667,27.2899997
1,7,2,1,0,0.503237,0.590703,0.716667,13.458333,0.210877,0.7,0.6807499333,0.6457607,0.7144445,22.387222
1,1,3,0,0,0.683678,0.620562,0,30.008333,0.313541,0.2,0.7130631,0.6226748,0.1549999667,27.2899997
1,7,3,1,0,0.445469,0.514573,0.15,15.841666,0.2303,0.7,0.6807499333,0.6457607,0.7144445,22.387222
1,1,4,0,0,0.646542,0.601344,0,30.008333,0.254162,0.2,0.7130631,0.6226748,0.1549999667,27.2899997
1,7,4,1,0,0.689038,0.650566,0.05,25.775,0.188124,0.7,0.6807499333,0.6457607,0.7144445,22.387222
1,1,5,0,0,0.953414,0.717664,0,30.008333,0.256382,0.2,0.7130631,0.6226748,0.1549999667,27.2899997
1,7,5,1,0,0.497075,0.56476,1.883333,9.775,0.227525,0.7,0.6807499333,0.6457607,0.7144445,22.387222
1,2,1,0,0,1.061296,0.742751,0,30.008333,0.273585,0.2,0.7130631,0.6226748,0.1549999667,27.2899997
1,8,1,1,0,0.416741,0.578214,3.816667,10.908334,0.191454,0.7,0.6807499333,0.6457607,0.7144445,22.387222
1,2,2,0,0,0.557753,0.558808,0,30.008333,0.248058,0.2,0.7130631,0.6226748,0.1549999667,27.2899997
1,8,2,1,0,0.93676,0.730992,0,30.008333,0.159822,0.7,0.6807499333,0.6457607,0.7144445,22.387222
1,2,3,0,0,0.492915,0.547596,0,30.008333,0.238624,0.2,0.7130631,0.6226748,0.1549999667,27.2899997
1,8,3,1,0,0.772471,0.660966,0.183333,26.808332,0.149834,0.7,0.6807499333,0.6457607,0.7144445,22.387222
1,2,4,0,0,0.529134,0.547596,0,30.008333,0.22586,0.2,0.7130631,0.6226748,0.1549999667,27.2899997
1,8,4,1,0,0.714187,0.677457,0.016667,17.025,0.177026,0.7,0.6807499333,0.6457607,0.7144445,22.387222
1,2,5,0,0,0.857449,0.684495,0.15,27.058332,0.27414,0.2,0.7130631,0.6226748,0.1549999667,27.2899997
1,8,5,1,0,0.594168,0.61515,1.266667,22.924999,0.165927,0.7,0.6807499333,0.6457607,0.7144445,22.387222
1,3,1,0,0,0.82336,0.683099,0,30.008333,0.256382,0.2,0.7130631,0.6226748,0.1549999667,27.2899997
1,9,1,1,0,1.177417,0.7873,0,30.008333,0.115427,0.7,0.6807499333,0.6457607,0.7144445,22.387222
1,3,2,0,0,0.565902,0.561819,0,30.008333,0.18202,0.2,0.7130631,0.6226748,0.1549999667,27.2899997
1,9,2,1,0,0.941456,0.729892,0,30.008333,0.149834,0.7,0.6807499333,0.6457607,0.7144445,22.387222
1,3,3,0,0,1.075835,0.744938,0,30.008333,0.192009,0.2,0.7130631,0.6226748,0.1549999667,27.2899997
1,9,3,1,0,0.859215,0.676709,0,30.008333,0.157048,0.7,0.6807499333,0.6457607,0.7144445,22.387222
1,3,4,0,0,0.546595,0.563211,0,30.008333,0.27081,0.2,0.7130631,0.6226748,0.1549999667,27.2899997
1,9,4,1,0,0.711135,0.676583,0,30.008333,0.114317,0.7,0.6807499333,0.6457607,0.7144445,22.387222
1,3,5,0,0,0.38214,0.511439,1.883333,7.475,0.238069,0.2,0.7130631,0.6226748,0.1549999667,27.2899997
1,9,5,1,0,0.587216,0.614405,0,30.008333,0.175916,0.7,0.6807499333,0.6457607,0.7144445,22.387222
1,4,1,0,0,0.388271,0.520422,1.6,7.991667,0.247503,0.2,0.7130631,0.6226748,0.1549999667,27.2899997
1,10,1,1,0,0.648634,0.624516,0.533333,25.808332,0.195339,0.7,0.6807499333,0.6457607,0.7144445,22.387222
1,4,2,0,0,1.117496,0.739106,0,30.008333,0.236404,0.2,0.7130631,0.6226748,0.1549999667,27.2899997
1,10,2,1,0,0.621157,0.649515,1.3,20.658333,0.159822,0.7,0.6807499333,0.6457607,0.7144445,22.387222
1,4,3,0,0,0.809132,0.660206,0.683333,29.275,0.187014,0.2,0.7130631,0.6226748,0.1549999667,27.2899997
1,10,3,1,0,0.668687,0.649327,0.116667,27.625,0.128746,0.7,0.6807499333,0.6457607,0.7144445,22.387222
1,4,4,0,0,0.504307,0.559578,0,30.008333,0.2303,0.2,0.7130631,0.6226748,0.1549999667,27.2899997
1,10,4,1,0,0.73613,0.693396,1.216667,20.725,0.122642,0.7,0.6807499333,0.6457607,0.7144445,22.387222
1,4,5,0,0,0.605573,0.586806,0,30.008333,0.174251,0.2,0.7130631,0.6226748,0.1549999667,27.2899997
1,10,5,1,0,0.52357,0.588326,0.866667,12.308333,0.188679,0.7,0.6807499333,0.6457607,0.7144445,22.387222
1,5,1,0,0,0.962669,0.713832,0,30.008333,0.214761,0.2,0.7130631,0.6226748,0.1549999667,27.2899997
1,11,1,1,0,0.375593,0.526173,1.75,14.708333,0.182575,0.7,0.6807499333,0.6457607,0.7144445,22.387222
